"","X","Y","id","longitude","latitude","start_date","end_date","label","linkcolumn","class_name","scene_id","areameters","view_date","julday"
"38",-53.6627007,-5.3192401,55,-53.6627007,-5.3192401,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"39",-53.6833,-5.3719301,56,-53.6833,-5.3719301,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"40",-53.125,-5.3747301,57,-53.125,-5.3747301,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"41",-54.0703011,-5.3748102,59,-54.0703011,-5.3748102,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"42",-53.875,-5.37501,60,-53.875,-5.37501,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"43",-53.7195015,-5.7501798,61,-53.7195015,-5.7501798,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"44",-53.1141014,-5.5448098,62,-53.1141014,-5.5448098,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"45",-53.8950996,-5.6824698,64,-53.8950996,-5.6824698,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"46",-53.8834,-5.6732302,65,-53.8834,-5.6732302,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"47",-53.8885002,-5.68258,66,-53.8885002,-5.68258,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"48",-53.8787994,-5.6668601,67,-53.8787994,-5.6668601,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"49",-52.6841011,-5.5138001,68,-52.6841011,-5.5138001,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"50",-52.6927986,-5.5223899,69,-52.6927986,-5.5223899,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"51",-52.7206993,-5.5175099,70,-52.7206993,-5.5175099,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"52",-54.2617989,-5.9451299,71,-54.2617989,-5.9451299,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"53",-53.7242012,-5.7578902,73,-53.7242012,-5.7578902,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"54",-53.7206993,-5.75038,77,-53.7206993,-5.75038,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"55",-53.7498016,-5.7748599,80,-53.7498016,-5.7748599,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"56",-53.7498016,-5.7737899,81,-53.7498016,-5.7737899,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"57",-53.2603989,-5.7572598,86,-53.2603989,-5.7572598,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"58",-54.2829018,-6.1428299,109,-54.2829018,-6.1428299,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"59",-54.1739998,-6.1355801,110,-54.1739998,-6.1355801,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"60",-54.0582008,-6.02384,112,-54.0582008,-6.02384,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"61",-54.0461998,-6.15066,113,-54.0461998,-6.15066,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"62",-52.8097,-5.3294702,115,-52.8097,-5.3294702,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"63",-54.107399,-5.87114,116,-54.107399,-5.87114,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"64",-52.6980019,-5.5493898,117,-52.6980019,-5.5493898,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"65",-53.8801003,-5.8766398,119,-53.8801003,-5.8766398,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"66",-53.9757004,-5.1696301,120,-53.9757004,-5.1696301,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"67",-53.3787994,-5.15065,121,-53.3787994,-5.15065,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"68",-53.8716011,-5.1249199,122,-53.8716011,-5.1249199,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"69",-54.0276985,-6.33744,123,-54.0276985,-6.33744,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"70",-54.1516991,-6.34308,124,-54.1516991,-6.34308,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"71",-53.333766,-6.686161,125,-53.333766,-6.686161,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"72",-53.443816,-6.677309,126,-53.443816,-6.677309,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"73",-53.51718,-6.644206,127,-53.51718,-6.644206,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"74",-52.523993,-5.208201,128,-52.523993,-5.208201,"2015-08-01","2016-07-31","primary_forest",NA,"",NA,NA,"",NA
"75",-53.41151061,-6.525220837,129,-53.41151061,-6.525220837,"2014-08-01","2015-07-31","clear_cut2015",NA,"",NA,NA,"",NA
"76",-53.93533631,-6.228306996,130,-53.93533631,-6.228306996,"2014-08-01","2015-07-31","clear_cut2015",NA,"",NA,NA,"",NA
"77",-53.7210591,-6.015912138,131,-53.7210591,-6.015912138,"2014-08-01","2015-07-31","clear_cut2015",295,"ALERTA",1049,1008303.94300445,"2014-06-13",164
"78",-53.2715842,-6.202929574,132,-53.2715842,-6.202929574,"2014-08-01","2015-07-31","clear_cut2015",NA,"",NA,NA,"",NA
"79",-53.30309433,-6.069632453,133,-53.30309433,-6.069632453,"2014-08-01","2015-07-31","clear_cut2015",309,"ALERTA",1079,1180594.44242051,"2014-07-13",194
"80",-53.94497256,-6.108518574,134,-53.94497256,-6.108518574,"2014-08-01","2015-07-31","clear_cut2015",NA,"",NA,NA,"",NA
"81",-53.13391035,-6.23180979,135,-53.13391035,-6.23180979,"2014-08-01","2015-07-31","clear_cut2015",528,"ALERTA",1102,390616.04081744,"2014-08-05",217
"82",-53.35867495,-6.47299912,136,-53.35867495,-6.47299912,"2014-08-01","2015-07-31","clear_cut2015",179,"ALERTA",1045,1193327.334425,"2014-06-09",160
"83",-53.34219663,-6.468860563,137,-53.34219663,-6.468860563,"2014-08-01","2015-07-31","clear_cut2015",178,"ALERTA",1045,716326.958276838,"2014-06-09",160
"84",-53.25648006,-6.469208222,138,-53.25648006,-6.469208222,"2014-08-01","2015-07-31","clear_cut2015",531,"ALERTA",1052,262308.009050589,"2014-06-16",167
"85",-54.01914591,-6.319532315,139,-54.01914591,-6.319532315,"2014-08-01","2015-07-31","clear_cut2015",NA,"",NA,NA,"",NA
"86",-53.72904515,-6.046530891,140,-53.72904515,-6.046530891,"2015-08-01","2016-07-31","clear_cut2016",749,"ALERTA",1284,0,"2015-06-19",170
"87",-53.71200945,-6.141331669,141,-53.71200945,-6.141331669,"2015-08-01","2016-07-31","clear_cut2016",134,"ALERTA",1359,0,"2015-09-09",252
"88",-53.57805865,-6.190478542,142,-53.57805865,-6.190478542,"2015-08-01","2016-07-31","clear_cut2016",NA,"",NA,NA,"",NA
"89",-53.33956797,-6.049552483,143,-53.33956797,-6.049552483,"2014-08-01","2015-07-31","clear_cut2015",312,"ALERTA",1079,2259217.94787623,"2014-07-13",194
"90",-53.18346081,-6.244537285,144,-53.18346081,-6.244537285,"2014-08-01","2015-07-31","clear_cut2015",942,"ALERTA",1290,0,"2015-06-25",176
"91",-53.43141603,-6.31088632,145,-53.43141603,-6.31088632,"2014-08-01","2015-07-31","clear_cut2015",200,"ALERTA",1270,0,"2015-06-05",156
"92",-53.23695389,-6.205729839,146,-53.23695389,-6.205729839,"2014-08-01","2015-07-31","clear_cut2015",142,"ALERTA",1268,0,"2015-06-03",154
"93",-53.79799518,-6.125311976,147,-53.79799518,-6.125311976,"2015-08-01","2016-07-31","clear_cut2016",NA,"",NA,NA,"",NA
"94",-53.56764096,-6.115458925,148,-53.56764096,-6.115458925,"2015-08-01","2016-07-31","clear_cut2016",405,"ALERTA",1307,0,"2015-07-16",197
"95",-53.71088848,-6.044494848,149,-53.71088848,-6.044494848,"2014-08-01","2015-07-31","clear_cut2015",664,"ALERTA",1281,0,"2015-06-16",167
"96",-53.19842342,-6.376422309,150,-53.19842342,-6.376422309,"2014-08-01","2015-07-31","clear_cut2015",725,"ALERTA",1284,0,"2015-06-19",170
"97",-53.47393788,-6.34063688,151,-53.47393788,-6.34063688,"2015-08-01","2016-07-31","clear_cut2016",973,"ALERTA",1292,0,"2015-06-26",177
"98",-53.29020995,-6.343907232,152,-53.29020995,-6.343907232,"2014-08-01","2015-07-31","clear_cut2015",524,"ALERTA",1086,765007.929963089,"2014-07-20",201
"99",-53.65456358,-6.408958387,153,-53.65456358,-6.408958387,"2015-08-01","2016-07-31","clear_cut2016",539,"ALERTA",1086,1340861.88848181,"2014-07-20",201
"100",-53.65243708,-6.419774781,154,-53.65243708,-6.419774781,"2015-08-01","2016-07-31","clear_cut2016",541,"ALERTA",1086,941795.392893881,"2014-07-20",201
